s_id;name
10001013;Augustów
10001024;Augustów Port
10001034;Baciuty
10001044;Balinka
10001050;Bia³ystok
10001064;Bia³ystok Bacieczki
10001074;Bia³ystok Fabryczny
10001084;Bia³ystok Stadion
10001094;Bia³ystok Starosielce
10001104;Bia³ystok Wiadukt
10001113;Bielsk Podlaski
10001124;Blizna
10001134;Bojary
10001144;Borowiki
10001154;Borsukówka
10001164;Cisówka
10001173;Czarna Bia³ostocka
10001184;Czarny Blok
10001194;Czechowizna
10001203;Czeremcha
10001214;Czuprynowo
10001223;Czy¿ew
10001233;D¹browa Bia³ostocka
10001244;D¹browa-£azy
10001254;Dobrowoda
10001264;Dobrzyniewo Du¿e
10001274;Fasty
10001284;Geniusze
10001294;Gliniszcze
10001304;Goni¹dz
10001313;Grajewo
10001324;Gregorowce
10001333;Hajnówka
10001344;Ho³ówki Du¿e
10001354;Jab³oñ Koœcielna
10001363;Jastrzêbna
10001374;Kamienna Nowa
10001384;Kity
10001394;Klepacze
10001404;Kleszczele
10001413;Knyszyn
10001424;Kundzin
10001434;Kuriany
10001443;KuŸnica Bia³ostocka
10001454;Lewickie
10001464;Lewki
10001473;£apy
10001484;£apy Osse
10001494;Machnacz
10001503;Moñki
10001514;Narewka
10001524;Niewodnica
10001534;Nieznany Bór
10001544;Nowy Nurzec
10001554;Nurzec
10001564;Orzeszkowo
10001574;Osowiec
10001584;Ostrowie Biebrzañskie
10001594;P³ociczno ko³o Suwa³k
10001604;Podbiele
10001614;Podlasek
10001624;Policzna
10001634;Racewo
10001644;Racibory
10001654;Rajsk
10001664;Rozedranka
10001674;Ró¿anystok
10001684;Ruda
10001694;Sidra
10001704;Siemianówka
10001713;Siemiatycze
10001724;Sokole Bia³ostockie
10001733;Sokó³ka
10001744;Strabla
10001754;Suchowolce
10001762;Suwa³ki
10001774;Sycze
10001784;Szczepki
10001793;Szepietowo
10001804;Szymbory
10001813;Trakiszki
10001824;Trypucie
10001834;Uhowo
10001844;Wali³y
10001853;Wasilków
10001864;Witowo
10001874;Wólka Ratowiecka
10001884;Zajezierce
10001894;Zastocze
10001904;Zdrody Nowe
10001914;Zimnochy
10001924;¯ednia
50001933;Aleksandrów Kujawski
50001944;Anieliny
50001954;Arcelin
50001964;Babiak
50001974;Baboszewo
50001984;Bachorce
50001994;Bielawy
50002004;Biskupiec Pomorski
50002014;B³¹dzim
50002024;Boguszewo
50002033;Brodnica
50002044;Brzezie
50002054;Brzoza Bydgoska
50002064;Brzoza Toruñska
50002074;Bursztynowo
50002081;Bydgoszcz Akademia
50002091;Bydgoszcz Bielawy
50002101;Bydgoszcz B³onie
50002111;Bydgoszcz Brdyujœcie
50002121;Bydgoszcz Fordon
50002130;Bydgoszcz G³ówna
